customer_email,customer_name
mathissusan@hotmail.com,Michelle Orr
monica23@yahoo.com,Alexa Hernandez
kristine15@hotmail.com,Derrick Hernandez
ralph82@yahoo.com,Nicholas Peck
melodychandler@yahoo.com,Gary Perry
zwells@martinez-wilson.info,Eric Navarro
courtneybennett@miller.com,Adam Long
ymora@hotmail.com,Claudia Miller
brenda26@howard.com,Jocelyn Rhodes
nsanders@williams.com,Jimmy Ward
hintontonya@elliott.biz,Kathleen Stark
obolton@hotmail.com,Kimberly Velazquez
janice55@warren.org,Sarah Aguilar
marshzachary@gmail.com,Carlos Turner
michelle27@yahoo.com,Stephanie Shaw
