customer_email,Budget
monica23@yahoo.com,"86413,45"
nsanders@williams.com,"37628,75"
brenda26@howard.com,"41983,2"
hintontonya@elliott.biz,"45259,69"
obolton@hotmail.com,"26670,91"
monica23@yahoo.com,"58264,71"
brenda26@howard.com,"18965,34"
ralph82@yahoo.com,"18863,02"
zwells@martinez-wilson.info,"50874,62"
brenda26@howard.com,"17787,92"
courtneybennett@miller.com,"65301,82"
courtneybennett@miller.com,"57013,35"
janice55@warren.org,"48591,62"
obolton@hotmail.com,"59013,18"
nsanders@williams.com,"29904,48"
marshzachary@gmail.com,"79398,01"
monica23@yahoo.com,"54192,23"
ralph82@yahoo.com,"65663,22"
michelle27@yahoo.com,"43689,09"
marshzachary@gmail.com,"46814,87"
mathissusan@hotmail.com,"84836,75"
ymora@hotmail.com,"54127,48"
monica23@yahoo.com,"43129,22"
janice55@warren.org,"80491,1"
obolton@hotmail.com,"16340,25"
michelle27@yahoo.com,"69625,41"
marshzachary@gmail.com,"67053,79"
obolton@hotmail.com,"56557,77"
hintontonya@elliott.biz,"54791,02"
obolton@hotmail.com,"35834,64"
marshzachary@gmail.com,"76440,39"
zwells@martinez-wilson.info,"42449,1"
monica23@yahoo.com,"42684,51"
michelle27@yahoo.com,"14140,66"
zwells@martinez-wilson.info,"50417,51"
hintontonya@elliott.biz,"83346,98"
brenda26@howard.com,"44358,38"
monica23@yahoo.com,"91445,35"
ymora@hotmail.com,"20895,39"
michelle27@yahoo.com,"32447,8"
